Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
9,Trait_LDA,2,1.7022269551416256,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
10,State_LDA,2,0.7752362504868526,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
11,Joint_LDA,2,1.492485553469857,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
12,Raw,3,0.9574103940268536,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
13,Trait_LDA,3,1.6236996338632823,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
14,State_LDA,3,1.175440739361553,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
15,Joint_LDA,3,1.5652982010547218,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
16,Raw,4,1.6161639538899983,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
17,Trait_LDA,4,1.6110047509673888,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
18,State_LDA,4,0.9485335058349044,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
19,Joint_LDA,4,1.3910888089618738,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
20,Raw,5,0.9943355990950116,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
21,Trait_LDA,5,1.2041920690490275,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
22,State_LDA,5,1.0257767509994131,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
23,Joint_LDA,5,1.1175373234506238,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
24,Raw,6,2.412351469911424,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
25,Trait_LDA,6,1.5952334191682735,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
26,State_LDA,6,0.9962972773191632,0.364,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
27,Joint_LDA,6,1.5458802816582045,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
28,Raw,7,1.3958031029870686,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
29,Trait_LDA,7,1.604822975003541,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
30,State_LDA,7,1.15750521804559,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
31,Joint_LDA,7,1.5726255420999715,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
32,Raw,8,1.0767391913175144,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
33,Trait_LDA,8,1.6289183210826974,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
34,State_LDA,8,0.7966101223565945,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
